Rank,Player,PlayerID,Overall Rating,Games Played,FvA Rating,GvI Rating,ChangeRank,ChangeGames,ChangeRating,Last Game Date
1,xorxes,42435,448.9828722121276,135,478.00785745575786,342.89154683885846,0,14,-10.583008671331754,2017-12-31
2,Djantani,83442,432.1867471123509,85,432.1867471123509,None,2,3,-19.054411215037305,2017-12-16
3,CptMike,79656,422.02706669344707,381,405.47810895116754,453.60904711764454,-1,33,-31.335468651381404,2017-12-30
4,Nealkochhar,83727,417.6859507539567,755,416.53037220546116,419.5388611851651,-1,52,-34.937566931528295,2017-12-31
5,MadMarx,5210,416.3187407706896,40,416.3187407706896,None,7,9,106.54787150462926,2017-12-27
6,SplitDiplomat,36887,409.5950286320292,122,436.4043997534946,72.98848010696317,-1,8,5.0079565595373765,2017-12-25
7,genghiz,64274,381.42335449535386,44,381.42335449535386,None,1,4,12.362788118965227,2017-12-30
8,cspieker,41816,369.87210788083127,150,375.6051405398901,358.4060425627135,-2,9,-0.20548800885177343,2017-12-29
9,svkrIs,83933,340.32243841890687,240,357.1553582435778,230.90845955854607,0,18,-5.326772797720309,2017-12-29
10,zultar,33599,331.0907763687446,38,364.26034376054054,154.18641694583314,0,0,0.0,2017-10-02
11,snowy801,82888,330.10979465095517,175,364.73606152751006,162.74950474760664,-4,3,-39.28807286277481,2017-12-22
12,captainmeme,41379,321.2755307773407,47,325.701971414631,117.65926146198677,10,4,51.43031998609246,2017-12-17
13,Peregrine Falcon,51170,296.31503916034546,63,305.61999958758923,159.06687285849966,-2,1,-20.66100822273188,2017-12-06
14,goldfinger0303,28372,295.9342447523365,59,336.19392880458247,98.66179289633136,0,2,0.1770906816788056,2017-12-28
15,Bob Al Hubob,55540,289.24426013246057,147,292.2134399785104,284.2776320263408,1,27,3.009387353948,2017-12-28
16,Devonian,24341,289.21411627954353,36,270.58843548998465,310.03105363258,9,8,48.99030133881851,2017-12-29
17,bozotheclown,11401,288.9683867513593,54,305.3133182995051,225.07456342678913,3,3,14.583880278253162,2017-12-28
18,swordsman3003,36106,286.06448806386345,64,292.9951625340911,272.83320043888335,5,5,23.836059517304705,2017-12-31
19,hornetman22,83840,277.05438079902297,38,97.89091660184964,292.4112491587806,0,0,0.0,2017-07-12
20,stranger,41240,274.13545277981,136,293.3486002246839,130.0368469432559,-7,1,-21.8144469935782,2018-01-01
21,ryanrogers,39770,273.4180028508856,122,282.5358812427248,158.93797415334862,-6,9,-21.68003282805944,2017-12-10
22,CCR,85914,271.9027774823884,30,290.03815472666105,181.2258912610252,-1,1,-1.2114984367400439,2017-12-11
23,ThorondorNL,81761,269.2552654633739,47,269.2552654633739,None,-6,1,-15.870168994006576,2017-12-04
24,Ezio,81514,268.9914553059253,124,207.65776915688727,359.7653108065014,2,6,31.32799591154898,2017-12-27
25,Foxcastle,92993,265.30338669975293,37,276.56116792858626,68.29221519517003,9,8,48.7771403053101,2017-12-23
26,josemurc,17667,264.603849997471,39,271.77345448496243,131.96616697887927,-2,6,17.66276910626192,2017-12-25
27,Lando Calrissian,19131,253.20731854395,98,253.20731854394998,None,11,22,51.78819377862274,2017-12-24
28,!,75336,252.10658719054007,22,268.4821315383038,88.35114371290278,78,14,119.48412810912208,2017-12-26
29,muzzimo.l,94191,239.76548606828396,48,230.21317061616432,248.55361628423404,New Entry,New Entry,New Entry,2017-12-27
30,Yoyoyozo,65915,231.69560832558093,68,246.98752840018622,39.01741538555451,-12,3,-45.77900288495462,2017-12-17
31,brkyzgn,68900,231.28111510938393,132,269.8989598402036,197.07673834780084,2,12,14.2138456841015,2017-12-31
32,flash2015,75587,229.37378999599937,9,229.37378999599937,None,4,2,19.03370618734047,2017-12-24
